	1-2	1-4	1-6	1-7	2-9	2-10	2-12	2-14	3-16	3-19	3-21	3-24	4-26	4-29	4-31
F7AI08|SYT5	0.09552632856876975	0.12541945555042738	0.044555431489318564	0.16187272914757922	0.20318536256801986	0.18173430373194566	0.005241404642151504	0.0598820323389688	0.06453200254257363	-0.06730208347238453	-0.09080009705464948	0.19562551177366236	-0.1325785093704177	0.0115608247426323	-0.30074480481776455
F7GAB7|PRPF19	-0.49131101977282365	-0.44794526501522497	-0.299150832433458	-0.43933041258078775	-0.3944678600893201	-0.42428981251704023	-0.38429924788283504	-0.37020981266216435	-0.4556417716814328	-0.35619641629069304	-0.3755812103821518	-0.48013252750072877	-0.3859978263274902	-0.44330610196285813	-0.290439796426026
H9ERY9|SUGT1	0.01063743098225664	0.07299743269026047	-0.15437107927152954	-0.08545677598033968	-0.13723907593673199	-0.18682207071849385	-0.23161095136582646	-0.07475392913599312	-0.08705041877793623	-0.261719877231788	-0.12093206839580417	-0.032180405749149835	-0.2609026063459571	-0.21694040617646107	-0.3480505195961211
F6QQT8|RAB4B	0.02644794582971874	0.027808658924005206	0.14426315143491394	0.060284857468420674	0.15649212711997826	0.13330528121709845	0.14832274695710132	0.0907495992354474	0.09327438752859174	0.06430186561263218	0.0407530935151441	0.04567937115026166	0.13483433697395036	0.10085525544994742	0.11170489997192364
F6ZYV3|AGPAT5	-0.03923181844234777	-0.03381999785080217	0.07266906769823225	-0.036594508790327246	0.0884737036913272	0.05048977045369296	0.08041868245529771	0.04860602585411511	0.08583140434302977	0.007869265188189728	0.010627635837473462	0.0013253974665673185	0.0904402176154969	-0.014409754123626786	-0.03684883130181745
I2CUI2|PRMT1	0.025137000677371873	0.14610797177678808	0.05484207072635777	0.0396007032966829	-0.010617858715280051	0.017027011560652727	-0.04533795583603055	0.15408302898770793	0.09821512879886218	-0.08114763158996727	-0.04881764757987392	0.05336692952266134	-0.16360540499104223	-0.16702597764203153	-0.4305126797880941
A0A1D5RJV5|RBMXL1	0.11783649029385831	0.02255293347250996	0.3399157248189407	0.12920654022725714	0.22597722744126222	0.14407617767342107	0.2210790893924154	0.29009781297463405	0.04034863454902163	0.19756839647609636	0.05237217678197763	0.028881119987128917	0.10042430618811903	-0.05213855420475453	-0.09096538009351379
F7D700|ARHGAP5	-0.05301124545614191	0.01859853618388775	0.16696441135985682	-0.044854235784260565	-0.025346195865834656	0.020927946900556244	0.06293125572645661	-0.01569583975851707	0.03391663530448935	-0.021197002668542658	0.0026642575270563046	-0.03489479044618582	-0.008022421270191121	-0.010277927793300723	-0.1753575673838862
A0A5F7ZPP3|CADM4	-0.11814887566656926	-0.09391186758500236	0.0612341726359488	-0.18844508941311044	0.024908574913861253	-0.12804836129332733	-0.11045382487353575	-0.10801638326774154	-0.24545474524256655	-0.02386866091517599	-0.09506632502567733	-0.06232327897183123	0.0026642575270563046	0.04768025054928435	0.20449050343265746
H9EPA0|KIFAP3	-0.061342520048096254	-0.010736384737761048	0.031593124695316804	-0.044854235784260565	0.049394384449393675	-0.023912619944328264	-0.003943587988704256	0.05362846797052054	-0.026643324915382766	-0.04813886948842813	-0.013395593369042835	-0.018684563264926818	-0.04331117127333031	-0.09817061591417058	-0.1549602341078718
A0A1D5QZ21|DDX23	-0.16975818696089984	-0.15363821241352688	0.04970791925492132	-0.13016154840876698	-0.09849705015779348	-0.07990686680198181	-0.03051330839260684	-0.001301484112521456	-0.10255583959620929	0.0013145286020058988	-0.12383487629844149	-0.13326653086346432	-0.037825632189600666	-0.08507495830248729	-0.01689028120229457
A0A1D5QGH4|SCRIB	0.018564346753885547	0.11927770493423094	-0.01740627660361585	0.0538528582238884	0.03526908651958305	-0.03332007320002636	-0.06168594992351427	0.009077661667477782	0.06200539061677707	0.09417755009802228	0.15652940807326943	0.13533206161777148	0.06772014111541334	0.1837418001253126	0.20327560227379848
A0A5K1V437|GABRB2	-0.005348273190442718	0.11927770493423094	-0.01740627660361585	0.19264507794239577	-0.07184465796572631	0.06441672849577057	0.09031714352153572	0.14116503836567684	0.40477152085982004	-0.07282436788342728	0.25031155439388636	0.013199497754859235	-0.04331117127333031	0.02235747038595362	-0.35877692618917956
F6ZKB3|MAPK8	0.052419755070776564	-0.0811257126291589	0.047133975591094945	-0.0026791001958813287	0.06969649666069913	0.0769619818148842	0.013067979212478847	-0.007826574570327344	-0.03879525017071493	0.08676642913844979	0.010627635837473462	-0.029471118491163573	0.107867289373681	-0.02966183798388075	0.12202834324068472
A0A1D5Q6G0|STXBP3	-0.3881528363152049	-0.38025085799226654	-0.22106213535847785	-0.4302852729777808	-0.35842006463764453	-0.3636998328025731	-0.30107577102892635	-0.38882549082951134	-0.32258821617130623	-0.3971751250376453	-0.35497093070686564	-0.34768223147707933	-0.35497093070686564	-0.33771775828968553	-0.42486611664695206
G7MR84|PSMB1	-0.20009989500611353	-0.11402945508982094	-0.33563472021540813	-0.1434041251896193	-0.2226128315486081	-0.2094945390201508	-0.2930114960299698	-0.13490407252255282	-0.1917025711858791	-0.2903836354839316	-0.21066222905181625	-0.06926266243711393	-0.31959660060498035	-0.20115583908153367	-0.3356363492224249
F7CA79|ALS2	0.05499140466595098	0.11187292371247949	-0.04597542880038662	0.08194161353617611	-0.0662958240450989	0.009193354082622007	-0.058948387354683676	0.09684464438429366	0.02096596448980531	-0.003950787610636164	0.07153175506543254	0.046963478970586725	-0.09506632502567733	-0.12621365309597377	-0.0570873701816201
F7EWZ5|KCTD8	-0.16227142889887708	-0.15810707001117572	-0.10486911785395518	0.07941056895560629	-0.010617858715280051	0.04539190281401417	0.10381757844792625	-0.10521503279360166	0.13714349503928075	-0.022532213352361857	0.02642372474434239	-0.01466030670613204	0.09544089867386336	0.17409163009159329	0.03865825662422813
A0A1D5QQB8|UBE2L3	-0.3199275930079253	-0.28431626093299855	-0.4564401982894063	-0.24283421895045476	-0.3840762542427245	-0.3202821220438027	-0.3387633041348309	-0.30607947524244866	-0.21143463631006343	-0.4554916206284681	-0.21839787783142156	-0.2404054951590039	-0.3498640402737769	-0.16702597764203153	-0.34449270018293193
